"2025 rates listed are subject to change until final on February 1, 2026",,,,,,,,,
CountyName,LocalUnitName,RevShareCode,City,VillageName,SchoolName,SchoolCode,TotalRate,HomesteadRate,NonHomesteadRate
Barry,Baltimore,081020,0,,MAPLE VALLEY SCHOOL DISTRICT,23065,24.0794,24.0794,42.0794
Barry,Barry,081030,0,,DELTON KELLOGG SCHOOL DIST,08010,24.6472,24.6472,42.6472
Barry,Barry,081030,0,,GULL LAKE COMMUNITY SCHOOLS,39065,33.5930,33.5930,51.5930
Barry,Carlton,081040,0,,HASTINGS AREA SCHOOL DIST.,08030,24.7962,24.7962,42.4206
Barry,Carlton,081040,0,,THORNAPPLE KELLOGG SCH DIST,08050,32.5216,32.5216,50.5216
Barry,Carlton,081040,0,FREEPORT,THORNAPPLE KELLOGG SCH DIST,08050,39.8617,39.8617,57.8617
Barry,Carlton,081040,0,,LAKEWOOD PUBLIC SCHOOLS,34090,23.0863,23.0863,41.0395
Barry,Castleton,081050,0,,HASTINGS AREA SCHOOL DIST.,08030,25.3965,25.3965,43.0209
Barry,Castleton,081050,0,,MAPLE VALLEY SCHOOL DISTRICT,23065,26.5492,26.5492,44.5492
Barry,Castleton,081050,0,NASHVILLE,MAPLE VALLEY SCHOOL DISTRICT,23065,38.2723,38.2723,56.2723
Barry,Castleton,081050,0,,LAKEWOOD PUBLIC SCHOOLS,34090,23.6866,23.6866,41.6398
Barry,Hastings,081060,0,,HASTINGS AREA SCHOOL DIST.,08030,24.1960,24.1960,41.8204
Barry,Hastings,081060,0,,MAPLE VALLEY SCHOOL DISTRICT,23065,25.3487,25.3487,43.3487
Barry,Hope,081070,0,,DELTON KELLOGG SCHOOL DIST,08010,22.8407,22.8407,40.8407
Barry,Hope,081070,0,,HASTINGS AREA SCHOOL DIST.,08030,24.7251,24.7251,42.3495
Barry,Irving,081080,0,,HASTINGS AREA SCHOOL DIST.,08030,24.6648,24.6648,42.2892
Barry,Irving,081080,0,,THORNAPPLE KELLOGG SCH DIST,08050,32.3902,32.3902,50.3902
